Field,Description,Delay,Type,USA,CHN
nws12_afterhsz_opengap,(DayOpen - PrevClose) / PrevClose.,1,vector,71%,—
nws12_afterhsz_peratio,Reported price to earnings ratio for the calendar day of the session,0,vector,55%,—
nws12_afterhsz_peratio,Reported price to earnings ratio for the calendar day of the session,1,vector,55%,—
nws12_afterhsz_postvwap,Post session volume weighted average price,0,vector,71%,—
nws12_afterhsz_postvwap,Post session volume weighted average price,1,vector,71%,—
nws12_afterhsz_prev_vol,Previous day's session volume,0,vector,67%,—
nws12_afterhsz_prev_vol,Previous day's session volume,1,vector,67%,—
nws12_afterhsz_prevclose,Previous trading day's close price,0,vector,71%,—
nws12_afterhsz_prevclose,Previous trading day's close price,1,vector,71%,—
nws12_afterhsz_prevday,Percent change between the previous day's open and close,0,vector,71%,—
nws12_afterhsz_prevday,Percent change between the previous day's open and close,1,vector,71%,—
nws12_afterhsz_prevwap,Pre session volume weighted average price,0,vector,38%,—
nws12_afterhsz_prevwap,Pre session volume weighted average price,1,vector,38%,—
nws12_afterhsz_provider,index of name of the news provider,0,vector,71%,—
nws12_afterhsz_provider,index of name of the news provider,1,vector,71%,—
nws12_afterhsz_range,Session High Price - Session Low Price) / Session Low Price.,0,vector,65%,—
nws12_afterhsz_range,Session High Price - Session Low Price) / Session Low Price.,1,vector,65%,—
nws12_afterhsz_rangeamt,Session High Price - Session Low Price,0,vector,65%,—
nws12_afterhsz_rangeamt,Session High Price - Session Low Price,1,vector,65%,—
nws12_afterhsz_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,0,vector,62%,—
nws12_afterhsz_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,1,vector,62%,—
nws12_afterhsz_reportsess,Index of Session on which the spreadsheet is reporting,0,vector,71%,—
nws12_afterhsz_reportsess,Index of Session on which the spreadsheet is reporting,1,vector,71%,—
nws12_afterhsz_result1,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,71%,—
nws12_afterhsz_result1,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,71%,—
nws12_afterhsz_result2,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,71%,—
nws12_afterhsz_result2,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,71%,—
nws12_afterhsz_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),0,vector,71%,—
nws12_afterhsz_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),1,vector,71%,—
nws12_afterhsz_short_interest,Total number of shares sold short divided by total number of shares outstanding,0,vector,60%,—
nws12_afterhsz_short_interest,Total number of shares sold short divided by total number of shares outstanding,1,vector,60%,—
nws12_afterhsz_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,0,vector,71%,—
nws12_afterhsz_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,1,vector,71%,—
nws12_afterhsz_spyclose,Price of SPY at close of session,0,vector,71%,—
nws12_afterhsz_spyclose,Price of SPY at close of session,1,vector,71%,—
nws12_afterhsz_spylast,Last Price of the SPY at the time of the news,0,vector,71%,—
nws12_afterhsz_spylast,Last Price of the SPY at the time of the news,1,vector,71%,—
nws12_afterhsz_tonhigh,Highest price reached during the session before the time of news,0,vector,71%,—
nws12_afterhsz_tonhigh,Highest price reached during the session before the time of news,1,vector,71%,—
nws12_afterhsz_tonlast,Price at the time of news,0,vector,71%,—
nws12_afterhsz_tonlast,Price at the time of news,1,vector,71%,—
nws12_afterhsz_tonlow,Lowest price reached during the session before the time of the news,0,vector,71%,—
nws12_afterhsz_tonlow,Lowest price reached during the session before the time of the news,1,vector,71%,—
nws12_afterhsz_vol_ratio,Curr_Vol / Mov_Vol,0,vector,71%,—
nws12_afterhsz_vol_ratio,Curr_Vol / Mov_Vol,1,vector,71%,—
nws12_afterhsz_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,0,vector,71%,—
nws12_afterhsz_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,1,vector,71%,—
nws12_allz_newrecord,Tracks whether the news is first instance or a duplicate,0,vector,97%,—
nws12_allz_newrecord,Tracks whether the news is first instance or a duplicate,1,vector,97%,—
nws12_allz_newssess,Index of session in which the news was reported,0,vector,97%,—
nws12_allz_newssess,Index of session in which the news was reported,1,vector,97%,—
nws12_allz_provider,index of name of the news provider,0,vector,97%,—
nws12_allz_provider,index of name of the news provider,1,vector,97%,—
nws12_allz_reportsess,Index of Session on which the spreadsheet is reporting,0,vector,97%,—
nws12_allz_reportsess,Index of Session on which the spreadsheet is reporting,1,vector,97%,—
nws12_allz_result1,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,97%,—
nws12_allz_result1,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,97%,—
nws12_allz_result2,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,97%,—
nws12_allz_result2,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,97%,—
nws12_mainz_01l,Number of minutes that elapsed before price went up 10 percentage points,0,vector,97%,—
nws12_mainz_01l,Number of minutes that elapsed before price went up 10 percentage points,1,vector,97%,—
nws12_mainz_01p,The minimum of L or S above for 10 minute bucket,0,vector,97%,—
nws12_mainz_01p,The minimum of L or S above for 10 minute bucket,1,vector,97%,—
nws12_mainz_01s,Number of minutes that elapsed before price went down 10 percentage points,0,vector,97%,—
nws12_mainz_01s,Number of minutes that elapsed before price went down 10 percentage points,1,vector,97%,—
nws12_mainz_02l,Number of minutes that elapsed before price went up 20 percentage points,0,vector,97%,—
nws12_mainz_02l,Number of minutes that elapsed before price went up 20 percentage points,1,vector,97%,—
nws12_mainz_02p,The minimum of L or S above for 20 minute bucket,0,vector,97%,—
nws12_mainz_02p,The minimum of L or S above for 20 minute bucket,1,vector,97%,—
nws12_mainz_02s,Number of minutes that elapsed before price went down 20 percentage points,0,vector,97%,—
nws12_mainz_02s,Number of minutes that elapsed before price went down 20 percentage points,1,vector,97%,—
nws12_mainz_10_min,The percent change in price in the first 10 minutes following the news release,0,vector,96%,—
nws12_mainz_10_min,The percent change in price in the first 10 minutes following the news release,1,vector,96%,—
nws12_mainz_120_min,The percent change in price in the first 120 minutes following the news release,0,vector,97%,—
nws12_mainz_120_min,The percent change in price in the first 120 minutes following the news release,1,vector,97%,—
nws12_mainz_1_minute,The percent change in price in the first minute following the news release,0,vector,94%,—
nws12_mainz_1_minute,The percent change in price in the first minute following the news release,1,vector,94%,—
nws12_mainz_1l,Number of minutes that elapsed before price went up 1 percentage points,0,vector,97%,—
nws12_mainz_1l,Number of minutes that elapsed before price went up 1 percentage points,1,vector,97%,—
nws12_mainz_1p,The minimum of L or S above for 1 minute bucket,0,vector,97%,—
nws12_mainz_1p,The minimum of L or S above for 1 minute bucket,1,vector,97%,—
nws12_mainz_1s,Number of minutes that elapsed before price went down 1 percentage points,0,vector,97%,—
nws12_mainz_1s,Number of minutes that elapsed before price went down 1 percentage points,1,vector,97%,—
nws12_mainz_2l,Number of minutes that elapsed before price went up 2 percentage points,0,vector,97%,—
nws12_mainz_2l,Number of minutes that elapsed before price went up 2 percentage points,1,vector,97%,—
nws12_mainz_2p,The minimum of L or S above for 2 minute bucket,0,vector,97%,—
nws12_mainz_2p,The minimum of L or S above for 2 minute bucket,1,vector,97%,—
nws12_mainz_2s,Number of minutes that elapsed before price went down 2 percentage points,0,vector,97%,—
nws12_mainz_2s,Number of minutes that elapsed before price went down 2 percentage points,1,vector,97%,—
nws12_mainz_30_min,The percent change in price in the first 30 minutes following the news release,0,vector,97%,—
nws12_mainz_30_min,The percent change in price in the first 30 minutes following the news release,1,vector,97%,—
nws12_mainz_30_seconds,The percent change in price in the 30 seconds following the news release,0,vector,91%,—
nws12_mainz_30_seconds,The percent change in price in the 30 seconds following the news release,1,vector,91%,—
nws12_mainz_3l,Number of minutes that elapsed before price went up 3 percentage points,0,vector,97%,—
nws12_mainz_3l,Number of minutes that elapsed before price went up 3 percentage points,1,vector,97%,—
nws12_mainz_3p,The minimum of L or S above for 3 minute bucket,0,vector,97%,—
nws12_mainz_3p,The minimum of L or S above for 3 minute bucket,1,vector,97%,—
nws12_mainz_3s,Number of minutes that elapsed before price went down 3 percentage points,0,vector,97%,—
nws12_mainz_3s,Number of minutes that elapsed before price went down 3 percentage points,1,vector,97%,—
nws12_mainz_41rta,Fourteen day Average True Range,0,vector,97%,—
nws12_mainz_41rta,Fourteen day Average True Range,1,vector,97%,—
nws12_mainz_4l,Number of minutes that elapsed before price went up 4 percentage points,0,vector,97%,—
nws12_mainz_4l,Number of minutes that elapsed before price went up 4 percentage points,1,vector,97%,—
nws12_mainz_4p,The minimum of L or S above for 4 minute bucket,0,vector,97%,—
nws12_mainz_4p,The minimum of L or S above for 4 minute bucket,1,vector,97%,—
nws12_mainz_4s,Number of minutes that elapsed before price went down 4 percentage points,0,vector,97%,—
nws12_mainz_4s,Number of minutes that elapsed before price went down 4 percentage points,1,vector,97%,—
nws12_mainz_57l,Number of minutes that elapsed before price went up 7.5 percentage points,0,vector,97%,—
nws12_mainz_57l,Number of minutes that elapsed before price went up 7.5 percentage points,1,vector,97%,—
nws12_mainz_57p,The minimum of L or S above for 7.5 minute bucket,0,vector,97%,—
nws12_mainz_57p,The minimum of L or S above for 7.5 minute bucket,1,vector,97%,—
nws12_mainz_57s,Number of minutes that elapsed before price went down 7.5 percentage points,0,vector,97%,—
nws12_mainz_57s,Number of minutes that elapsed before price went down 7.5 percentage points,1,vector,97%,—
nws12_mainz_5_min,The percent change in price in the first 5 minutes following the news release,0,vector,96%,—
nws12_mainz_5_min,The percent change in price in the first 5 minutes following the news release,1,vector,96%,—
nws12_mainz_5l,Number of minutes that elapsed before price went up 5 percentage points,0,vector,97%,—
nws12_mainz_5l,Number of minutes that elapsed before price went up 5 percentage points,1,vector,97%,—
nws12_mainz_5p,The minimum of L or S above for 5 minute bucket,0,vector,97%,—
nws12_mainz_5p,The minimum of L or S above for 5 minute bucket,1,vector,97%,—
nws12_mainz_5s,Number of minutes that elapsed before price went down 5 percentage points,0,vector,97%,—
nws12_mainz_5s,Number of minutes that elapsed before price went down 5 percentage points,1,vector,97%,—
nws12_mainz_60_min,Thepercent change in price in the first 60 minutes following the news release,0,vector,97%,—
nws12_mainz_60_min,The percent change in price in the first 60 minutes following the news release,1,vector,97%,—
nws12_mainz_90_min,The percent change in price in the first 90 minutes following the news release,0,vector,97%,—
nws12_mainz_90_min,The percent change in price in the first 90 minutes following the news release,1,vector,97%,—
nws12_mainz_allticks,Total number of ticks for the trading day,0,vector,97%,—
nws12_mainz_allticks,Total number of ticks for the trading day,1,vector,97%,—
nws12_mainz_allvwap,Volume weighted average price of all sessions,0,vector,95%,—
nws12_mainz_allvwap,Volume weighted average price of all sessions,1,vector,95%,—
nws12_mainz_atrratio,Ratio of Today Range to 20 day average true range,0,vector,97%,—
nws12_mainz_atrratio,Ratio of Today Range to 20 day average true range,1,vector,97%,—
nws12_mainz_close_vol,Main close volume,0,vector,95%,—
nws12_mainz_close_vol,Main close volume,1,vector,95%,—
nws12_mainz_curr_vol,Current day's session volume,0,vector,97%,—
nws12_mainz_curr_vol,Current day's session volume,1,vector,97%,—
nws12_mainz_dayopen,Price at the session open,0,vector,97%,—
nws12_mainz_dayopen,Price at the session open,1,vector,97%,—
nws12_mainz_div_y,Annual yield,0,vector,48%,—
nws12_mainz_div_y,Annual yield,1,vector,48%,—
nws12_mainz_eodclose,Close price of the session,0,vector,97%,—
nws12_mainz_eodclose,Close price of the session,1,vector,97%,—
nws12_mainz_eodhigh,Highest price reached between the time of news and the end of the session,0,vector,97%,—
nws12_mainz_eodhigh,Highest price reached between the time of news and the end of the session,1,vector,97%,—
nws12_mainz_eodlow,Lowest price reached between the time of news and the end of the session.,0,vector,97%,—
nws12_mainz_eodlow,Lowest price reached between the time of news and the end of the session.,1,vector,97%,—
nws12_mainz_eodvwap,volume weighted average price between the time of news and the end of the session.,0,vector,97%,—
nws12_mainz_eodvwap,volume weighted average price between the time of news and the end of the session.,1,vector,97%,—
nws12_mainz_epsactual,The actual Earnings Per Share value that was conveyed by the news release,0,vector,88%,—
nws12_mainz_epsactual,The actual Earnings Per Share value that was conveyed by the news release,1,vector,87%,—
nws12_mainz_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,97%,—
nws12_mainz_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,97%,—
nws12_mainz_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,97%,—
nws12_mainz_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,97%,—
nws12_mainz_mainvwap,Main session volume weighted average price,0,vector,95%,—
nws12_mainz_mainvwap,Main session volume weighted average price,1,vector,95%,—
nws12_mainz_maxdnamt,The price at the time of the news minus the after the news low,0,vector,97%,—
nws12_mainz_maxdnamt,The price at the time of the news minus the after the news low,1,vector,97%,—
nws12_mainz_maxdown,Percent change from the price at the time of the news to the after the news low,0,vector,97%,—
nws12_mainz_maxdown,Percent change from the price at the time of the news to the after the news low,1,vector,97%,—
nws12_mainz_maxup,Percent change from the price at the time of the news to the after the news high,0,vector,97%,—
nws12_mainz_maxup,Percent change from the price at the time of the news to the after the news high,1,vector,97%,—
nws12_mainz_maxupamt,The after the news high minus the price at the time of the news,0,vector,97%,—
nws12_mainz_maxupamt,The after the news high minus the price at the time of the news,1,vector,97%,—
nws12_mainz_mktcap,Reported market capitalization for the calendar day of the session,0,vector,97%,—
nws12_mainz_mktcap,Reported market capitalization for the calendar day of the session,1,vector,97%,—
nws12_mainz_mov_vol,30 day moving average session volume,0,vector,97%,—
nws12_mainz_mov_vol,30 day moving average session volume,1,vector,97%,—
nws12_mainz_newrecord,Tracks whether the news is first instance or a duplicate,0,vector,97%,—
nws12_mainz_newrecord,Tracks whether the news is first instance or a duplicate,1,vector,97%,—
nws12_mainz_newssess,Index of session in which the news was reported,0,vector,97%,—
nws12_mainz_newssess,Index of session in which the news was reported,1,vector,97%,—
nws12_mainz_open_vol,Main open volume,0,vector,95%,—
nws12_mainz_open_vol,Main open volume,1,vector,95%,—
nws12_mainz_opengap,(DayOpen - PrevClose) / PrevClose.,0,vector,97%,—
nws12_mainz_opengap,(DayOpen - PrevClose) / PrevClose.,1,vector,97%,—
nws12_mainz_peratio,Reported price to earnings ratio for the calendar day of the session,0,vector,77%,—
nws12_mainz_peratio,Reported price to earnings ratio for the calendar day of the session,1,vector,77%,—
nws12_mainz_postvwap,Post session volume weighted average price,0,vector,87%,—
nws12_mainz_postvwap,Post session volume weighted average price,1,vector,87%,—
nws12_mainz_prev_vol,Previous day's session volume,0,vector,97%,—
nws12_mainz_prev_vol,Previous day's session volume,1,vector,97%,—
nws12_mainz_prevclose,Previous trading day's close price,0,vector,97%,—
nws12_mainz_prevclose,Previous trading day's close price,1,vector,97%,—
nws12_mainz_prevday,Percent change between the previous day's open and close,0,vector,97%,—
nws12_mainz_prevday,Percent change between the previous day's open and close,1,vector,97%,—
nws12_mainz_prevwap,Pre session volume weighted average price,0,vector,75%,—
nws12_mainz_prevwap,Pre session volume weighted average price,1,vector,75%,—
nws12_mainz_provider,index of name of the news provider,0,vector,97%,—
nws12_mainz_provider,index of name of the news provider,1,vector,97%,—
nws12_mainz_range,Session High Price - Session Low Price) / Session Low Price.,0,vector,97%,—
nws12_mainz_range,Session High Price - Session Low Price) / Session Low Price.,1,vector,97%,—
nws12_mainz_rangeamt,Session High Price - Session Low Price,0,vector,97%,—
nws12_mainz_rangeamt,Session High Price - Session Low Price,1,vector,97%,—
nws12_mainz_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,0,vector,97%,—
nws12_mainz_rangestddev,(RangeAmt-AvgRange)/RangeStdDev, where AvgRange is the average of the daily range, and RangeStdDev is one standard deviation for the daily range, both for 30 calendar days,1,vector,97%,—
nws12_mainz_reportsess,Index of Session on which the spreadsheet is reporting,0,vector,97%,—
nws12_mainz_reportsess,Index of Session on which the spreadsheet is reporting,1,vector,97%,—
nws12_mainz_result1,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,97%,—
nws12_mainz_result1,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,97%,—
nws12_mainz_result2,Percent change between the price at the time of the news release to the price at the close of the session,0,vector,97%,—
nws12_mainz_result2,Percent change between the price at the time of the news release to the price at the close of the session,1,vector,97%,—
nws12_mainz_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),0,vector,97%,—
nws12_mainz_result_vs_index,((EODClose - TONLast) / TONLast) - ((SPYClose - SPYLast) / SPYLast),1,vector,97%,—
nws12_mainz_short_interest,Total number of shares sold short divided by total number of shares outstanding,0,vector,86%,—
nws12_mainz_short_interest,Total number of shares sold short divided by total number of shares outstanding,1,vector,86%,—
nws12_mainz_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,0,vector,97%,—
nws12_mainz_sl,Whether a long or short position would have been more advantageous: If (EODHigh - Last) > (Last - EODLow) Then LS = 1; If (EODHigh - Last) = (Last - EODLow) Then LS= 0; If (EODHigh - Last) < (Last - EODLow) Then LS = -1.,1,vector,97%,—
nws12_mainz_spyclose,Price of SPY at close of session,0,vector,97%,—
nws12_mainz_spyclose,Price of SPY at close of session,1,vector,97%,—
nws12_mainz_spylast,Last Price of the SPY at the time of the news,0,vector,97%,—
nws12_mainz_spylast,Last Price of the SPY at the time of the news,1,vector,97%,—
nws12_mainz_tonhigh,Highest price reached during the session before the time of news,0,vector,97%,—
nws12_mainz_tonhigh,Highest price reached during the session before the time of news,1,vector,97%,—
nws12_mainz_tonlast,Price at the time of news,0,vector,97%,—
nws12_mainz_tonlast,Price at the time of news,1,vector,97%,—
nws12_mainz_tonlow,Lowest price reached during the session before the time of the news,0,vector,97%,—
nws12_mainz_tonlow,Lowest price reached during the session before the time of the news,1,vector,97%,—
nws12_mainz_vol_ratio,Curr_Vol / Mov_Vol,0,vector,97%,—
nws12_mainz_vol_ratio,Curr_Vol / Mov_Vol,1,vector,97%,—
nws12_mainz_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,0,vector,97%,—
nws12_mainz_volstddev,(CurrentVolume - AvgVol)/VolStDev, where AvgVol is the average of the daily volume, and VolStdDev is one standard deviation for the daily volume, both for 30 calendar days,1,vector,97%,—
nws12_prez_01l,Number of minutes that elapsed before price went up 10 percentage points,0,vector,92%,—
nws12_prez_01l,Number of minutes that elapsed before price went up 10 percentage points,1,vector,92%,—
nws12_prez_01p,The minimum of L or S above for 10 minute bucket,0,vector,92%,—
nws12_prez_01p,The minimum of L or S above for 10 minute bucket,1,vector,92%,—
nws12_prez_01s,Number of minutes that elapsed before price went down 10 percentage points,0,vector,92%,—
nws12_prez_01s,Number of minutes that elapsed before price went down 10 percentage points,1,vector,92%,—
nws12_prez_02l,Number of minutes that elapsed before price went up 20 percentage points,0,vector,92%,—
nws12_prez_02l,Number of minutes that elapsed before price went up 20 percentage points,1,vector,92%,—
nws12_prez_02p,The minimum of L or S above for 20 minute bucket,0,vector,92%,—
nws12_prez_02p,The minimum of L or S above for 20 minute bucket,1,vector,92%,—
nws12_prez_02s,Number of minutes that elapsed before price went down 20 percentage points,0,vector,92%,—
nws12_prez_02s,Number of minutes that elapsed before price went down 20 percentage points,1,vector,92%,—
nws12_prez_10_min,The percent change in price in the first 10 minutes following the news release,0,vector,51%,—
nws12_prez_10_min,Thepercent change in price in the first 10 minutes following the news release,1,vector,51%,—
nws12_prez_120_min,The percent change in price in the first 120 minutes following the news release,0,vector,63%,—
nws12_prez_120_min,The percent change in price in the first 120 minutes following the news release,1,vector,63%,—
nws12_prez_1_minute,The percent change in price in the first minute following the news release,0,vector,41%,—
nws12_prez_1_minute,The percent change in price in the first minute following the news release,1,vector,41%,—
nws12_prez_1l,Number of minutes that elapsed before price went up 1 percentage points,0,vector,92%,—
nws12_prez_1l,Number of minutes that elapsed before price went up 1 percentage points,1,vector,92%,—
nws12_prez_1p,The minimum of L or S above for 1 minute bucket,0,vector,92%,—
nws12_prez_1p,The minimum of L or S above for 1 minute bucket,1,vector,92%,—
nws12_prez_1s,Number of minutes that elapsed before price went down 1 percentage points,0,vector,92%,—
nws12_prez_1s,Number of minutes that elapsed before price went down 1 percentage points,1,vector,92%,—
nws12_prez_2l,Number of minutes that elapsed before price went up 2 percentage points,0,vector,92%,—
nws12_prez_2l,Number of minutes that elapsed before price went up 2 percentage points,1,vector,92%,—
nws12_prez_2p,The minimum of L or S above for 2 minute bucket,0,vector,92%,—
nws12_prez_2p,The minimum of L or S above for 2 minute bucket,1,vector,92%,—
nws12_prez_2s,Number of minutes that elapsed before price went down 2 percentage points,0,vector,92%,—
nws12_prez_2s,Number of minutes that elapsed before price went down 2 percentage points,1,vector,92%,—
nws12_prez_30_min,The percent change in price in the first 30 minutes following the news release,0,vector,57%,—
nws12_prez_30_min,The percent change in price in the first 30 minutes following the news release,1,vector,57%,—
nws12_prez_30_seconds,The percent change in price in the 30 seconds following the news release,0,vector,37%,—
nws12_prez_30_seconds,The percent change in price in the 30 seconds following the news release,1,vector,37%,—
nws12_prez_3l,Number of minutes that elapsed before price went up 3 percentage points,0,vector,92%,—
nws12_prez_3l,Number of minutes that elapsed before price went up 3 percentage points,1,vector,92%,—
nws12_prez_3p,The minimum of L or S above for 3 minute bucket,0,vector,92%,—
nws12_prez_3p,The minimum of L or S above for 3 minute bucket,1,vector,92%,—
nws12_prez_3s,Number of minutes that elapsed before price went down 3 percentage points,0,vector,92%,—
nws12_prez_3s,Number of minutes that elapsed before price went down 3 percentage points,1,vector,92%,—
nws12_prez_41rta,Fourteen day Average True Range,0,vector,91%,—
nws12_prez_41rta,Fourteen day Average True Range,1,vector,91%,—
nws12_prez_4l,Number of minutes that elapsed before price went up 4 percentage points,0,vector,92%,—
nws12_prez_4l,Number of minutes that elapsed before price went up 4 percentage points,1,vector,92%,—
nws12_prez_4p,The minimum of L or S above for 4 minute bucket,0,vector,92%,—
nws12_prez_4p,The minimum of L or S above for 4 minute bucket,1,vector,92%,—
nws12_prez_4s,Number of minutes that elapsed before price went down 4 percentage points,0,vector,92%,—
nws12_prez_4s,Number of minutes that elapsed before price went down 4 percentage points,1,vector,92%,—
nws12_prez_57l,Number of minutes that elapsed before price went up 7.5 percentage points,0,vector,92%,—
nws12_prez_57l,Number of minutes that elapsed before price went up 7.5 percentage points,1,vector,92%,—
nws12_prez_57p,The minimum of L or S above for 7.5 minute bucket,0,vector,92%,—
nws12_prez_57p,The minimum of L or S above for 7.5 minute bucket,1,vector,92%,—
nws12_prez_57s,Number of minutes that elapsed before price went down 7.5 percentage points,0,vector,92%,—
nws12_prez_57s,Number of minutes that elapsed before price went down 7.5 percentage points,1,vector,92%,—
nws12_prez_5_min,The percent change in price in the first 5 minutes following the news release,0,vector,47%,—
nws12_prez_5_min,The percent change in price in the first 5 minutes following the news release,1,vector,47%,—
nws12_prez_5l,Number of minutes that elapsed before price went up 5 percentage points,0,vector,92%,—
nws12_prez_5l,Number of minutes that elapsed before price went up 5 percentage points,1,vector,92%,—
nws12_prez_5p,The minimum of L or S above for 5 minute bucket,0,vector,92%,—
nws12_prez_5p,The minimum of L or S above for 5 minute bucket,1,vector,92%,—
nws12_prez_5s,Number of minutes that elapsed before price went down 5 percentage points,0,vector,92%,—
nws12_prez_5s,Number of minutes that elapsed before price went down 5 percentage points,1,vector,92%,—
nws12_prez_60_min,The percent change in price in the first 60 minutes following the news release,0,vector,61%,—
nws12_prez_60_min,The percent change in price in the first 60 minutes following the news release,1,vector,61%,—
nws12_prez_90_min,The percent change in price in the first 90 minutes following the news release,0,vector,62%,—
nws12_prez_90_min,The percent change in price in the first 90 minutes following the news release,1,vector,63%,—
nws12_prez_allticks,Total number of ticks for the trading day,0,vector,92%,—
nws12_prez_allticks,Total number of ticks for the trading day,1,vector,92%,—
nws12_prez_allvwap,Volume weighted average price of all sessions,0,vector,92%,—
nws12_prez_allvwap,Volume weighted average price of all sessions,1,vector,92%,—
nws12_prez_atrratio,Ratio of Today Range to 20 day average true range,0,vector,77%,—
nws12_prez_atrratio,Ratio of Today Range to 20 day average true range,1,vector,77%,—
nws12_prez_close_vol,Main close volume,0,vector,91%,—
nws12_prez_close_vol,Main close volume,1,vector,91%,—
nws12_prez_curr_vol,Current day's session volume,0,vector,77%,—
nws12_prez_curr_vol,Current day's session volume,1,vector,77%,—
nws12_prez_dayopen,Price at the session open,0,vector,77%,—
nws12_prez_dayopen,Price at the session open,1,vector,77%,—
nws12_prez_div_y,Annual yield,0,vector,44%,—
nws12_prez_div_y,Annual yield,1,vector,44%,—
nws12_prez_eodclose,Close price of the session,0,vector,77%,—
nws12_prez_eodclose,Close price of the session,1,vector,77%,—
nws12_prez_eodhigh,Highest price reached between the time of news and the end of the session,0,vector,77%,—
nws12_prez_eodhigh,Highest price reached between the time of news and the end of the session,1,vector,77%,—
nws12_prez_eodlow,Lowest price reached between the time of news and the end of the session.,0,vector,77%,—
nws12_prez_eodlow,Lowest price reached between the time of news and the end of the session.,1,vector,77%,—
nws12_prez_eodvwap,volume weighted average price between the time of news and the end of the session.,0,vector,77%,—
nws12_prez_eodvwap,volume weighted average price between the time of news and the end of the session.,1,vector,77%,—
nws12_prez_epsactual,The actual Earnings Per Share value that was conveyed by the news release,0,vector,76%,—
nws12_prez_epsactual,The actual Earnings Per Share value that was conveyed by the news release,1,vector,76%,—
nws12_prez_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,77%,—
nws12_prez_highexcstddev,(EODHigh - TONLast)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,77%,—
nws12_prez_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,0,vector,77%,—
nws12_prez_lowexcstddev,(TONLast - EODLow)/StdDev, where StdDev is one standard deviation for the close price for 30 calendar days,1,vector,77%,—
nws12_prez_mainvwap,Main session volume weighted average price,0,vector,91%,—
nws12_prez_mainvwap,Main session volume weighted average price,1,vector,91%,—
nws12_prez_maxdnamt,The price at the time of the news minus the after the news low,0,vector,77%,—
nws12_prez_maxdnamt,The price at the time of the news minus the after the news low,1,vector,77%,—
nws12_prez_maxdown,Percent change from the price at the time of the news to the after the news low,0,vector,77%,—
nws12_prez_maxdown,Percent change from the price at the time of the news to the after the news low,1,vector,77%,—
nws12_prez_maxup,Percent change from the price at the time of the news to the after the news high,0,vector,77%,—
nws12_prez_maxup,Percent change from the price at the time of the news to the after the news high,1,vector,77%,—
